Age,LDTAcc,RT,AttentionCheck,AgeOfMachine,TrialN,ProbeType,ProbePosition,SubjectType,SubjectFreq,SubjectLength,Browser,ProbeFrequency,ProbeCosine,ProbeWord,HasCheck,StimType,StimID,ReadingTime,Condition,OS,fullSentence,TimeTaken,Participant
25,1,848.0999999999999,0,1,2,UNREL,AFTER-VP,DNP,3.087558969,8,Chrome,3.929769388,0.095724535,SHARK,0,experimental,16,2386.2999999999997,DNP-UNREL-AFTER-VP,Win32,"Given the change in the law, the motorist certainly should have received the letter, suggests The Times.",65.16666666666667,1
25,1,730.7,0,1,3,UNREL,AFTER-V,DNP,3.681799882,10,Chrome,4.022054607,-3.5711e-5,TRUNK,0,experimental,46,1417.8999999999999,DNP-UNREL-AFTER-V,Win32,"Given the change in the law, the footballer definitely should have told the truth, mentions The Times.",65.16666666666667,1
25,1,735.3,0,1,6,NONCE,AFTER-VP,QNP,3.570916411,9,Chrome,NA,NA,SMECK,0,experimental,55,2286.3,QNP-NONCE-AFTER-VP,Win32,"Given the change in the law, every physicist definitely should have interrupted the meeting, says The Telegraph.",65.16666666666667,1
25,1,693.6,0,1,7,NONCE,AFTER-VP,QNP,4.141850119,8,Chrome,NA,NA,TROLF,0,experimental,7,1718.8000000000002,QNP-NONCE-AFTER-VP,Win32,"Given the change in the law, every investor definitely should have updated the protocol, reports The Telegraph.",65.16666666666667,1
25,1,688.8,1,1,9,NONCE,AFTER-V,DNP,2.442833304,8,Chrome,NA,NA,CLEAP,1,experimental,60,1051.3999999999999,DNP-NONCE-AFTER-V,Win32,"Given the change in the law, the hotelier clearly should have made the transition, says The Guardian.",65.16666666666667,1
25,1,775.4,0,1,10,REL,AFTER-VP,QNP,4.257983625,9,Chrome,4.604307777,0.65194005,TOWER,0,experimental,51,1518.3999999999999,QNP-REL-AFTER-VP,Win32,"Given the change in the law, every architect definitely should have extended the deadline, says The BBC.",65.16666666666667,1
25,1,716.8,0,1,13,REL,AFTER-V,QNP,3.407217937,7,Chrome,4.147611827,0.387145282,DRAIN,0,experimental,21,1168.6000000000001,QNP-REL-AFTER-V,Win32,"Given the change in the law, every plumber definitely should have renewed the insurance, suggests The BBC.",65.16666666666667,1
25,1,718.8,1,1,20,REL,AFTER-V,DNP,4.166816978,8,Chrome,5.000544983,0.399338922,PEACE,1,experimental,20,934.4,DNP-REL-AFTER-V,Win32,"Given the change in the law, the activist certainly should have claimed the compensation, suggests The Sun.",65.16666666666667,1
25,1,771.3,1,1,22,NONCE,AFTER-V,DNP,3.147773871,9,Chrome,NA,NA,BLEPH,1,experimental,36,917.9000000000001,DNP-NONCE-AFTER-V,Win32,"Given the change in the law, the paramedic definitely should have joined the protest, claims The Guardian.",65.16666666666667,1
25,1,730.1999999999999,0,1,24,REL,AFTER-V,DNP,4.438372257,6,Chrome,5.048236364,0.43050393,VOICE,0,experimental,56,784.8000000000001,DNP-REL-AFTER-V,Win32,"Given the change in the law, the singer clearly should have sued the organiser, says The Sun.",65.16666666666667,1
25,1,777.5999999999999,0,1,25,REL,AFTER-V,DNP,4.271877839,7,Chrome,5.33947384,0.149010967,MARCH,0,experimental,44,1284.1,DNP-REL-AFTER-V,Win32,"Given the change in the law, the soldier obviously should have raised the concern, mentions The Sun.",65.16666666666667,1
25,1,680.6,0,1,27,NONCE,AFTER-VP,QNP,4.216284055,12,Chrome,NA,NA,KNURN,0,experimental,31,1552,QNP-NONCE-AFTER-VP,Win32,"Given the change in the law, every photographer clearly should have cancelled the subscription, claims The Telegraph.",65.16666666666667,1
25,1,685.8,0,1,30,UNREL,AFTER-V,QNP,4.382518198,9,Chrome,3.433099598,0.053885011,RHINO,0,experimental,11,834.4,QNP-UNREL-AFTER-V,Win32,"Given the change in the law, every passenger definitely should have demanded the refund, reports The Independent.",65.16666666666667,1
25,1,658.4,1,1,31,NONCE,AFTER-V,QNP,4.054597373,7,Chrome,NA,NA,WOOSE,1,experimental,1,934.9,QNP-NONCE-AFTER-V,Win32,"Given the change in the law, every surgeon certainly should have undertaken the training, reports The Telegraph.",65.16666666666667,1
25,1,759.1,1,1,33,UNREL,AFTER-VP,DNP,3.296803811,9,Chrome,3.689125491,0.137191468,BASIL,1,experimental,40,1702.1,DNP-UNREL-AFTER-VP,Win32,"Given the change in the law, the informant obviously should have examined the contract, mentions The Times.",65.16666666666667,1
25,1,730.5,0,1,37,REL,AFTER-VP,QNP,5.294762043,8,Chrome,5.588746199,0.120705124,POWER,0,experimental,3,1318.5,QNP-REL-AFTER-VP,Win32,"Given the change in the law, every director definitely should have reconsidered the offer, reports The BBC.",65.16666666666667,1
25,1,813.5,0,1,38,NONCE,AFTER-V,QNP,3.499480888,9,Chrome,NA,NA,FLOVE,0,experimental,37,1151.8,QNP-NONCE-AFTER-V,Win32,"Given the change in the law, every biologist clearly should have replaced the equipment, mentions The Telegraph.",65.16666666666667,1
25,1,674.9000000000001,1,1,39,NONCE,AFTER-V,DNP,4.223689768,7,Chrome,NA,NA,THOOB,1,experimental,48,917.8,DNP-NONCE-AFTER-V,Win32,"Given the change in the law, the analyst obviously should have acknowledged the failing, mentions The Guardian.",65.16666666666667,1
25,1,887.2,0,1,41,NONCE,AFTER-VP,DNP,2.954817735,7,Chrome,NA,NA,GLIMP,0,experimental,54,1401.5,DNP-NONCE-AFTER-VP,Win32,"Given the change in the law, the postman obviously should have consulted the website, says The Guardian.",65.16666666666667,1
25,1,669.9000000000001,0,1,45,NONCE,AFTER-V,DNP,4.460251055,8,Chrome,NA,NA,SMIME,0,experimental,12,985,DNP-NONCE-AFTER-V,Win32,"Given the change in the law, the employer clearly should have borne the brunt, reports The Guardian.",65.16666666666667,1
25,1,739.8000000000001,0,1,47,REL,AFTER-VP,DNP,3.671694735,6,Chrome,4.714494586,0.436893167,OCEAN,0,experimental,38,2236.7,DNP-REL-AFTER-VP,Win32,"Given the change in the law, the sailor definitely should have known the risk, mentions The Sun.",65.16666666666667,1
25,1,665.2,1,1,48,REL,AFTER-V,QNP,4.528661332,8,Chrome,4.773777517,0.358177388,STEEL,1,experimental,33,1051.8000000000002,QNP-REL-AFTER-V,Win32,"Given the change in the law, every engineer obviously should have forseen the issue, claims The BBC.",65.16666666666667,1
25,1,851.1,0,1,49,UNREL,AFTER-VP,QNP,3.949644483,9,Chrome,3.76364436,0.008169191,LINEN,0,experimental,41,1351.3,QNP-UNREL-AFTER-VP,Win32,"Given the change in the law, every conductor clearly should have avoided the behaviour, mentions The Independent.",65.16666666666667,1
25,1,722.1999999999999,1,1,50,REL,AFTER-V,QNP,3.541556206,8,Chrome,5.026411782,0.501397476,PLANT,1,experimental,45,918,QNP-REL-AFTER-V,Win32,"Given the change in the law, every gardener clearly should have verified the claim, mentions The BBC.",65.16666666666667,1
25,1,637.8000000000001,0,1,51,UNREL,AFTER-V,DNP,4.510372539,8,Chrome,3.930373842,0.410938427,BERRY,0,experimental,58,884.8000000000001,DNP-UNREL-AFTER-V,Win32,"Given the change in the law, the producer obviously should have addressed the inequality, says The Times.",65.16666666666667,1
25,1,698.8,0,1,55,NONCE,AFTER-VP,DNP,5.005747312,9,Chrome,NA,NA,GLARM,0,experimental,18,1435.3,DNP-NONCE-AFTER-VP,Win32,"Given the change in the law, the executive clearly should have paid the fine, suggests The Guardian.",65.16666666666667,1
25,1,839.6,1,1,60,REL,AFTER-VP,QNP,4.064504628,7,Chrome,3.354276001,0.363666985,BROOM,1,experimental,27,1652.1999999999998,QNP-REL-AFTER-VP,Win32,"Given the change in the law, every cleaner clearly should have discarded the item, claims The BBC.",65.16666666666667,1
